PV_scaling_factor,bat_system_kWh,total_net_savings
13,4,1877923.167770277
13,5,1891427.3641883358
13,6,1904651.2016875807
13,7,1917777.938848715
13,8,1930514.4441620158
13,9,1948333.4045247976
13,10,1959622.5664313606
13,11,1972335.4238810334
13,12,1985699.1090937946
13,13,1999685.7485015015
13,14,2013512.4947542583
13,15,2027258.7057899216
13,16,2039541.259558075
13,17,2051718.7554539451
13,18,2064094.43679288
13,19,2074752.66352331
13,20,2085939.1901146923
13,21,2097656.8719806527
13,22,2110207.019566671
13,23,2119188.334283582
13,24,2128198.7251578965
13,25,2141082.3058838733
13,26,2153729.676329541
13,27,2162336.6655062083
13,28,2176333.275147299
13,29,2189145.863513323
14,0,1785448.2346917214
14,1,1799788.5143533032
14,2,1813911.7274428296
14,3,1827449.3091560712
14,4,1841634.798519737
14,5,1854821.8906893
14,6,1868726.1693596279
14,7,1881789.7436063855
14,8,1896034.8556961142
14,9,1909601.7091981764
14,10,1923516.039731847
14,11,1936751.7019301022
14,12,1947174.879125848
14,13,1959991.359225705
14,14,1971267.7154138756
14,15,1982930.2040922528
14,16,1995369.5536255455
14,17,2007657.1907445146
14,18,2019301.3593189346
14,19,2032113.7886429555
14,20,2046084.6815417542
14,21,2057015.5437851185
14,22,2067708.376789173
14,23,2073221.5520459085
14,24,2084826.4976419674
14,25,2098059.1861795173
14,26,2110178.6803263845
14,27,2119358.2727301326
14,28,2130759.827983998
14,29,2136252.4201479377
15,0,1744602.0533702173
15,1,1758592.5587873557
15,2,1772274.163026669
15,3,1785686.4779498011
15,4,1798891.6069100795
15,5,1812564.548974191
15,6,1825384.9042029027
15,7,1838213.6514059165
15,8,1851098.1976110416
15,9,1864333.0371930134
15,10,1876417.3196091552
15,11,1888875.4803074514
15,12,1900889.0041550666
15,13,1913798.566648639
15,14,1931455.266839948
15,15,1946416.4503959427
15,16,1956961.7021109185
15,17,1966620.036307098
15,18,1978943.9604244744
15,19,1992935.0629614387
15,20,2003467.0695643267
15,21,2018433.7983570735
15,22,2027801.1495102055
15,23,2037793.737892106
15,24,2047324.0925743282
15,25,2057744.8128843193
15,26,2069112.1077301076
15,27,2083646.5522415286
15,28,2095133.5233389747
15,29,2104732.6295591295
16,0,1700009.9496786008
16,1,1714168.516673022
16,2,1727211.930389842
16,3,1742048.8028052426
16,4,1755345.3452495206
16,5,1767568.5380957276
16,6,1780848.717913866
16,7,1793348.5079680663
16,8,1806729.5719724381
16,9,1820141.3596212072
16,10,1830735.329177374
16,11,1843021.5869810127
16,12,1856523.7478603665
16,13,1868504.3477558251
16,14,1878678.9770185365
16,15,1889535.007835269
16,16,1902734.1033452845
16,17,1914226.8599503625
16,18,1927659.9343382262
16,19,1939907.5342940728
16,20,1952037.647664095
16,21,1963922.8279492932
16,22,1975647.4209589974
16,23,1987677.9565979796
16,24,1996703.855905852
16,25,2009766.8484365288
16,26,2020532.5701503213
16,27,2032888.5399573015
16,28,2043584.0954381179
16,29,2057020.6165923774
17,0,1650489.078703986
17,1,1663923.5713964445
17,2,1677582.7124182498
17,3,1690974.8884278582
17,4,1703863.8676783722
17,5,1717325.3702427028
17,6,1729573.8775524101
17,7,1746382.6182724442
17,8,1759291.5832310878
17,9,1772871.402091817
17,10,1786285.96887938
17,11,1799337.5735472583
17,12,1810527.8598012032
17,13,1824110.3138287948
17,14,1838882.488253487
17,15,1850763.3899837537
17,16,1863893.3469261266
17,17,1873766.4573470035
17,18,1883528.1509215236
17,19,1894691.8943466991
17,20,1903294.5889295286
17,21,1918689.0646235226
17,22,1930056.1587514682
17,23,1942572.1671847396
17,24,1953998.5283461655
17,25,1968198.709690261
17,26,1978589.0725868372
17,27,1988644.2647297038
17,28,2000513.826714787
17,29,2013474.5248159345
18,0,1600558.0164922564
18,1,1613402.4742600732
18,2,1626926.618796439
18,3,1639979.3417941881
18,4,1653082.0690531703
18,5,1666401.7477119295
18,6,1678864.7114641638
18,7,1692090.389194009
18,8,1704479.647944409
18,9,1718396.8866020218
18,10,1731745.2606599731
18,11,1744010.153355999
18,12,1756766.5706556619
18,13,1770007.0643209955
18,14,1782871.2024450605
18,15,1795522.470499468
18,16,1806628.4527307402
18,17,1818077.9410158282
18,18,1829023.0800171467
18,19,1840850.7681405612
18,20,1853864.5259680157
18,21,1865818.0165532066
18,22,1875875.1145302362
18,23,1885606.3768926219
18,24,1898001.1603054171
18,25,1909223.5424635725
18,26,1920844.077417598
18,27,1936346.609695025
18,28,1944482.6553306766
18,29,1955079.2075081626
19,0,1547807.393412895
19,1,1561150.1357485214
19,2,1574503.7647852534
19,3,1587354.3277445878
19,4,1600326.5553689958
19,5,1613409.6230385741
19,6,1626055.4147002855
19,7,1637853.4033132587
19,8,1651273.3351242645
19,9,1664237.4481895883
19,10,1676628.9367306428
19,11,1689053.9607272865
19,12,1701663.8433439974
19,13,1714374.8003913718
19,14,1725900.1834946033
19,15,1737599.517062616
19,16,1749814.4403250506
19,17,1762612.1546915895
19,18,1775090.426837504
19,19,1785478.2837583218
19,20,1798516.982383111
19,21,1810128.1448436053
19,22,1822731.520163226
19,23,1833886.3167353403
19,24,1840653.5105984774
19,25,1850726.6001758827
19,26,1861740.9300603438
19,27,1869947.9441718608
19,28,1882693.150436665
19,29,1891426.8614235334
20,0,1492232.6119809062
20,1,1505666.3460126482
20,2,1518998.2427703217
20,3,1532020.4691587645
20,4,1545011.4747546404
20,5,1557965.0325146015
20,6,1570970.9235839848
20,7,1583711.9669160238
20,8,1595745.8249000218
20,9,1605211.9576031258
20,10,1617448.383526411
20,11,1629398.3183240574
20,12,1647169.2109723692
20,13,1659906.7231687997
20,14,1672144.2951090191
20,15,1678906.4056730806
20,16,1691311.6212397232
20,17,1703257.8177310224
20,18,1714336.7236283002
20,19,1726990.2560788577
20,20,1737897.9938958373
20,21,1749668.797419154
20,22,1762169.0773103721
20,23,1774363.3956230246
20,24,1787453.066268297
20,25,1799865.862524068
20,26,1810745.294544215
20,27,1823841.7958475845
20,28,1833643.0053986611
20,29,1844827.3550191717
21,0,1435032.7284202608
21,1,1448472.2374931527
21,2,1461056.9413302327
21,3,1473803.3314886969
21,4,1486145.0942450576
21,5,1498889.571624326
21,6,1511272.8058260097
21,7,1523722.3533647275
21,8,1536546.6269132937
21,9,1552748.2288404414
21,10,1565793.9762887768
21,11,1579689.3270959705
21,12,1595878.8733308148
21,13,1602741.3725924236
21,14,1614585.8274360793
21,15,1626260.4179813317
21,16,1638380.831333342
21,17,1649703.3131394978
21,18,1662904.9844025858
21,19,1672208.5871131462
21,20,1685451.976471513
21,21,1695839.663179277
21,22,1705843.5660242615
21,23,1715238.3429066439
21,24,1726916.8281565632
21,25,1736423.523622353
21,26,1750773.0067627688
21,27,1762715.5409966481
21,28,1776731.2803442075
21,29,1786907.5236526597
22,0,1378105.235505375
22,1,1391166.2261187308
22,2,1404157.5471002585
22,3,1417024.4594915304
22,4,1429392.3311882047
22,5,1442652.8778845118
22,6,1455284.3183144252
22,7,1467719.6782399737
22,8,1479331.499129817
22,9,1490649.2927760445
22,10,1502792.1681171525
22,11,1515316.2161457795
22,12,1529096.5539054829
22,13,1540731.8757513575
22,14,1551896.4618899897
22,15,1563185.245649994
22,16,1576074.696278004
22,17,1586735.5494086957
22,18,1602033.7331362953
22,19,1614270.5476068775
22,20,1624606.362734503
22,21,1636333.4547550566
22,22,1644771.8500805981
22,23,1652759.4593006503
22,24,1665447.340417713
22,25,1673660.4701680923
22,26,1686028.968922461
22,27,1701920.6643866617
22,28,1710473.4903112156
22,29,1720566.844140157
23,0,1320208.2538466118
23,1,1333199.167217228
23,2,1346140.015884752
23,3,1358795.720110842
23,4,1371142.3012195504
23,5,1383731.549707919
23,6,1396211.9655439155
23,7,1407984.4526949348
23,8,1420044.264024388
23,9,1431446.2326096566
23,10,1443588.8093528897
23,11,1455207.137432734
23,12,1466658.9729965022
23,13,1478406.6517060865
23,14,1490657.2188755255
23,15,1501539.1695941496
23,16,1513657.6113582999
23,17,1523925.9364179266
23,18,1536692.1590701165
23,19,1548092.6164988545
23,20,1558317.1626401544
23,21,1569424.2766120378
23,22,1581084.8827862982
23,23,1593660.041705886
23,24,1604677.403750224
23,25,1613139.143269353
23,26,1625117.4217340816
23,27,1640282.9604184255
23,28,1651402.363490317
23,29,1659971.2103669122
24,0,1259443.7995444238
24,1,1272093.8510811771
24,2,1285171.8340878654
24,3,1297671.2555224448
24,4,1309779.843449241
24,5,1321760.053245395
24,6,1333519.1970984056
24,7,1345090.5533323484
24,8,1357797.0477326983
24,9,1370808.1229708288
24,10,1381836.388012583
24,11,1393372.4870542763
24,12,1404118.8083014311
24,13,1416040.079721841
24,14,1428043.1402601628
24,15,1439681.6614164002
24,16,1451176.520931481
24,17,1462498.1003977614
24,18,1473760.462457371
24,19,1486132.4735392341
24,20,1497874.2598196794
24,21,1509655.690594511
24,22,1522211.9280603854
24,23,1533692.9101789054
24,24,1544764.916406509
24,25,1556079.3386810902
24,26,1566284.523280356
24,27,1577971.99360527
24,28,1590507.6667271904
24,29,1601578.913402142
25,0,1197981.3038608897
25,1,1210611.8769174279
25,2,1222968.8060027151
25,3,1235348.5120164813
25,4,1247220.6430029394
25,5,1259441.2297455324
25,6,1271208.3665924147
25,7,1283306.0919070593
25,8,1296276.574715746
25,9,1309084.9669822794
25,10,1320664.8349056696
25,11,1331735.7808418386
25,12,1345389.3437297232
25,13,1357084.219928273
25,14,1368848.0785304308
25,15,1380908.3472299948
25,16,1393427.0635435567
25,17,1404909.3464057543
25,18,1416144.3645650474
25,19,1428368.8060866296
25,20,1440638.7075853124
25,21,1451404.07000844
25,22,1463750.2793057924
25,23,1476041.1918071136
25,24,1488645.6405484653
25,25,1499165.8190796152
25,26,1511721.8932038872
25,27,1524399.505192927
25,28,1537012.4801395508
25,29,1548633.585879081
26,0,1134469.8633585917
26,1,1147353.5689111368
26,2,1159979.5683226164
26,3,1172115.1271538227
26,4,1184142.2144092922
26,5,1196587.624375557
26,6,1208667.0401929542
26,7,1220915.9706799882
26,8,1233520.6847766973
26,9,1245832.791197543
26,10,1257687.2690024078
26,11,1270079.061929496
26,12,1282495.416952976
26,13,1294437.333281741
26,14,1306537.6652135607
26,15,1318763.2791863591
26,16,1330928.4838878587
26,17,1343447.6173156304
26,18,1355487.2004938242
26,19,1367409.99818971
26,20,1379753.0465166746
26,21,1389445.6377931265
26,22,1401671.5343858348
26,23,1414280.0160094807
26,24,1424596.9934614026
26,25,1437248.7086303495
26,26,1449718.1640222436
26,27,1459944.8192533841
26,28,1470205.349662722
26,29,1480132.6808406156
27,0,1073031.4426284656
27,1,1085747.100178441
27,2,1098137.7699040947
27,3,1110353.2323274226
27,4,1122623.2211723807
27,5,1135105.7740758685
27,6,1147350.4399834247
27,7,1159357.8836622497
27,8,1171590.1357275923
27,9,1184030.5276497744
27,10,1196311.8924527697
27,11,1208803.0262642577
27,12,1220859.0794995031
27,13,1232719.775326564
27,14,1245321.0223007435
27,15,1257678.134926085
27,16,1270273.6992905429
27,17,1279633.4140809183
27,18,1291445.3074303884
27,19,1302717.999733165
27,20,1315072.0248083188
27,21,1326445.8725222712
27,22,1338054.1389625287
27,23,1349019.7614468378
27,24,1362037.8855277621
27,25,1374110.497695799
27,26,1385506.4789230283
27,27,1398178.1547287502
27,28,1409210.4058420844
27,29,1420729.95971577
28,0,1011650.3025285178
28,1,1024362.2354605433
28,2,1036838.5095276707
28,3,1049066.4506639668
28,4,1061370.3520357434
28,5,1073189.6032491908
28,6,1084428.8929162954
28,7,1096809.4229987753
28,8,1109101.7687131627
28,9,1121894.24734439
28,10,1134495.7912661997
28,11,1145951.3438267238
28,12,1157528.7645494891
28,13,1169774.2137218476
28,14,1183426.4555622404
28,15,1195809.0967319394
28,16,1206788.4682004433
28,17,1218348.7061264412
28,18,1231399.388293027
28,19,1241660.4084483497
28,20,1253200.9121341165
28,21,1265371.773848435
28,22,1274902.5225789053
28,23,1286419.0360288285
28,24,1297871.645474229
28,25,1310438.0428884123
28,26,1321698.8288432024
28,27,1334081.2580085648
28,28,1346119.8065271927
28,29,1356960.521264175
29,0,949810.884524365
29,1,962126.8435278838
29,2,974624.0627515805
29,3,987051.6276820784
29,4,999004.5543336566
29,5,1011475.828751009
29,6,1023781.2856336217
29,7,1035402.4300237407
29,8,1050795.6045686943
29,9,1063184.8435842653
29,10,1075619.2732534278
29,11,1087474.5229792618
29,12,1098928.1201520655
29,13,1109873.2674027793
29,14,1122072.0349276252
29,15,1134313.0599590996
29,16,1145929.5494343794
29,17,1158074.4706524815
29,18,1168210.1911818516
29,19,1178901.2116101303
29,20,1189912.7970660268
29,21,1201786.2152999977
29,22,1212238.3949581976
29,23,1222616.367813563
29,24,1233625.1758530792
29,25,1245557.0743355993
29,26,1257748.0018148199
29,27,1269880.0622093854
29,28,1280849.124553875
29,29,1294086.3203129102
30,0,887390.0985035603
30,1,899823.6900009774
30,2,912133.5034917248
30,3,924038.9993505832
30,4,935747.3463005852
30,5,948170.8939011162
30,6,960177.6442942186
30,7,972356.5375675028
30,8,984320.1666434831
30,9,996605.9954618406
30,10,1008498.2546087448
30,11,1020462.3445855489
30,12,1032813.594960965
30,13,1043575.8894840383
30,14,1055468.32517365
30,15,1067443.072852462
30,16,1079457.6283940626
30,17,1091058.0924075493
30,18,1103518.27270746
30,19,1114842.6817851188
30,20,1130643.3882567496
30,21,1141809.345326618
30,22,1153068.1438719644
30,23,1165951.8310783373
30,24,1177084.9534969125
30,25,1188619.5437675598
30,26,1199333.8321967714
30,27,1206384.0779496264
30,28,1217136.8253416987
30,29,1226941.5921753622
31,0,823761.8535308633
31,1,836277.5608914462
31,2,848433.4225361235
31,3,860651.2806831277
31,4,872243.9420910226
31,5,884668.3721724711
31,6,896592.4545787391
31,7,908485.6793851941
31,8,920468.732494195
31,9,933152.2983569861
31,10,944841.5279045259
31,11,956833.0497418577
31,12,969270.0732091023
31,13,980875.2278031292
31,14,994343.1986098108
31,15,1005938.3510935411
31,16,1017466.5629306925
31,17,1029168.5685901134
31,18,1040696.1554532172
31,19,1053019.6790998348
31,20,1064499.839663338
31,21,1075660.685942585
31,22,1086794.447921859
31,23,1101408.4890933917
31,24,1113577.9439897137
31,25,1125082.1078178158
31,26,1136472.5247198134
31,27,1148637.0357155288
31,28,1155418.1290691649
31,29,1167314.860277949
32,0,760078.0991779105
32,1,772243.0988599081
32,2,784659.3991792714
32,3,796494.560798062
32,4,808223.3950337535
32,5,820455.2701165061
32,6,832121.8922858825
32,7,844213.6520673335
32,8,856310.555903205
32,9,868170.0676267734
32,10,880549.3349603692
32,11,892296.1538133724
32,12,903951.2251531822
32,13,915598.9546377934
32,14,928045.4330049932
32,15,939910.823849563
32,16,952231.6560050426
32,17,963973.120483862
32,18,976395.7155113202
32,19,986295.9829788876
32,20,998419.2263172916
32,21,1010514.9311055976
32,22,1021853.2433112874
32,23,1032494.4973303773
32,24,1043965.9127017146
32,25,1055121.751725222
32,26,1064968.1988139404
32,27,1077238.247436866
32,28,1088182.6429007004
32,29,1099069.3540246796
33,0,695939.4832351815
33,1,708286.4913315291
33,2,720574.4300350465
33,3,732418.2517895335
33,4,744236.465627409
33,5,756459.2057291546
33,6,782586.309921823
33,7,794311.9319426175
33,8,806427.5748206303
33,9,806222.2393488733
33,10,817987.0883515966
33,11,829170.6328643835
33,12,841519.3212555244
33,13,853878.6270023347
33,14,866174.8221133824
33,15,876796.4355948998
33,16,887184.5207489061
33,17,899133.6895052448
33,18,911309.8846447666
33,19,922407.1009782387
33,20,933945.2514753712
33,21,945745.5154000374
33,22,957907.3911434098
33,23,970229.0456179716
33,24,982316.3595498388
33,25,994533.6345755204
33,26,1004505.2579811122
33,27,1014979.3686266488
33,28,1025917.351794464
33,29,1037899.8992799164
34,0,631975.1217854884
34,1,644221.1904335639
34,2,656350.3425327269
34,3,668210.455513224
34,4,680287.0589662984
34,5,692367.7271125594
34,6,704062.3632382508
34,7,715570.606203347
34,8,728080.1068359148
34,9,739953.4913721879
34,10,752039.2002424668
34,11,764096.522286695
34,12,776395.3810095356
34,13,788461.5986278374
34,14,800360.6220821617
34,15,812489.9117600825
34,16,824701.5799046913
34,17,836944.4302987889
34,18,848087.3731525289
34,19,858795.1667922502
34,20,871164.8714145087
34,21,882177.1152864932
34,22,892703.179802068
34,23,904021.9422596646
34,24,914178.9602878073
34,25,923550.2821044659
34,26,935377.7369827684
34,27,946714.9062506016
34,28,958600.2933875704
34,29,971646.9566259906
35,0,567848.7969435635
35,1,580091.4597569546
35,2,592259.0624137898
35,3,604132.1302627376
35,4,616053.5214096075
35,5,628166.4359207381
35,6,640250.8926309401
35,7,652205.6413412979
35,8,664770.9854552592
35,9,677374.4840626302
35,10,689251.2915470114
35,11,701123.5793037526
35,12,712611.6156259051
35,13,723872.5430768158
35,14,735792.1400410263
35,15,746686.3239751605
35,16,757133.8099801121
35,17,768729.1172020021
35,18,780907.1099055791
35,19,792123.5871371417
35,20,803470.934957196
35,21,814957.6516677509
35,22,826936.4898801502
35,23,838447.6527566649
35,24,849542.8508202115
35,25,858791.5798393846
35,26,871025.9418341902
35,27,882313.994098471
35,28,891232.4332211306
35,29,902498.2199954614
36,0,503446.0895407805
36,1,515764.63628967525
36,2,527687.9822221666
36,3,539667.4806006113
36,4,551464.5118942088
36,5,563286.5572795353
36,6,575003.7266718922
36,7,586560.82633666
36,8,598822.4459835829
36,9,611065.3908825782
36,10,622568.1056359201
36,11,633828.1052691373
36,12,645932.4330034305
36,13,657533.1549622095
36,14,669254.3923554511
36,15,681077.1293207025
36,16,692823.3141956222
36,17,703527.263668559
36,18,713817.5446138193
36,19,725036.6945900465
36,20,736482.1175988181
36,21,747669.016117386
36,22,757621.3951563998
36,23,769102.8492656385
36,24,780185.0812602695
36,25,790884.1468192241
36,26,800783.1372202584
36,27,810894.2507841054
