Timestamp,Production (kW)
01/14 06,12.78
01/14 07,33.77
01/14 08,55.32
01/14 09,71.02
01/14 10,57.27
01/14 11,32.65
01/14 12,30.03
01/14 13,26.79
01/14 14,22.17
01/14 15,17.38
01/14 16,9.03
01/14 17,2.87
01/14 18,0.00
01/14 19,0.00
01/14 20,0.00
01/14 21,0.00
01/14 22,0.00
01/14 23,0.00
01/15 00,0.00
01/15 01,0.00
01/15 02,0.00
01/15 03,0.00
01/15 04,0.00
01/15 05,0.63
01/15 06,2.66
01/15 07,5.85
01/15 08,9.45
01/15 09,11.80
01/15 10,12.01
01/15 11,11.60
01/15 12,11.20
01/15 13,10.84
01/15 14,10.17
01/15 15,7.85
01/15 16,4.55
01/15 17,1.36
01/15 18,0.00
01/15 19,0.00
01/15 20,0.00
01/15 21,0.00
01/15 22,0.00
01/15 23,0.00
01/16 00,0.00
01/16 01,0.00
01/16 02,0.00
01/16 03,0.00
01/16 04,0.00
01/16 05,2.08
01/16 06,11.27
01/16 07,26.62
01/16 08,42.43
01/16 09,56.74
01/16 10,65.25
01/16 11,65.44
01/16 12,64.51
01/16 13,62.55
01/16 14,51.85
01/16 15,35.18
01/16 16,17.83
01/16 17,5.40
01/16 18,0.90
01/16 19,0.00
01/16 20,0.00
01/16 21,0.00
01/16 22,0.00
01/16 23,0.00
01/17 00,0.00
01/17 01,0.00
01/17 02,0.00
01/17 03,0.00
01/17 04,0.00
01/17 05,2.10
01/17 06,11.12
01/17 07,27.73
01/17 08,44.05
01/17 09,55.65
01/17 10,64.08
01/17 11,67.10
01/17 12,65.40
01/17 13,60.48
01/17 14,50.25
01/17 15,35.14
01/17 16,18.57
01/17 17,6.21
01/17 18,0.87
01/17 19,0.00
01/17 20,0.00
01/17 21,0.00
01/17 22,0.00
01/17 23,0.00
01/18 00,0.00
01/18 01,0.00
01/18 02,0.00
01/18 03,0.00
01/18 04,0.00
01/18 05,2.23
01/18 06,11.44
01/18 07,27.86
01/18 08,45.86
01/18 09,60.20
01/18 10,69.32
01/18 11,73.08
01/18 12,70.62
01/18 13,64.23
01/18 14,54.16
01/18 15,38.46
01/18 16,19.67
01/18 17,5.88
01/18 18,0.90
01/18 19,0.00
01/18 20,0.00
01/18 21,0.00
01/18 22,0.00
01/18 23,0.00
01/19 00,0.00
01/19 01,0.00
01/19 02,0.00
01/19 03,0.00
01/19 04,0.00
01/19 05,2.05
01/19 06,11.30
01/19 07,27.90
01/19 08,45.48
01/19 09,59.71
01/19 10,68.80
01/19 11,72.85
01/19 12,71.35
01/19 13,64.07
01/19 14,52.85
01/19 15,37.57
01/19 16,19.30
01/19 17,5.70
01/19 18,0.88
01/19 19,0.00
01/19 20,0.00
01/19 21,0.00
01/19 22,0.00
01/19 23,0.00
01/20 00,0.00
01/20 01,0.00
01/20 02,0.00
01/20 03,0.00
01/20 04,0.00
01/20 05,2.20
01/20 06,11.52
01/20 07,26.16
01/20 08,38.28
01/20 09,50.00
01/20 10,61.84
01/20 11,69.56
01/20 12,69.60
01/20 13,59.75
01/20 14,47.86
01/20 15,35.83
01/20 16,19.22
01/20 17,5.75
01/20 18,1.04
01/20 19,0.00
01/20 20,0.00
01/20 21,0.00
01/20 22,0.00
01/20 23,0.00
01/21 00,0.00
01/21 01,0.00
01/21 02,0.00
01/21 03,0.00
01/21 04,0.00
01/21 05,1.56
01/21 06,8.94
01/21 07,20.50
01/21 08,30.61
01/21 09,39.25
01/21 10,42.22
01/21 11,41.61
01/21 12,40.73
01/21 13,33.75
01/21 14,27.00
01/21 15,19.61
01/21 16,8.47
01/21 17,1.80
01/21 18,0.00
01/21 19,0.00
01/21 20,0.00
01/21 21,0.00
01/21 22,0.00
01/21 23,0.00
01/22 00,0.00
01/22 01,0.00
01/22 02,0.00
01/22 03,0.00
01/22 04,0.00
01/22 05,1.87
01/22 06,11.13
01/22 07,27.77
01/22 08,45.95
01/22 09,60.64
01/22 10,56.73
01/22 11,48.03
01/22 12,48.23
01/22 13,47.13
01/22 14,43.68
01/22 15,32.20
01/22 16,17.43
01/22 17,6.43
01/22 18,1.15
01/22 19,0.00
01/22 20,0.00
01/22 21,0.00
01/22 22,0.00
01/22 23,0.00
01/23 00,0.00
01/23 01,0.00
01/23 02,0.00
01/23 03,0.00
01/23 04,0.00
01/23 05,2.05
01/23 06,12.73
01/23 07,32.58
01/23 08,54.49
01/23 09,71.72
01/23 10,57.07
01/23 11,35.88
01/23 12,45.55
01/23 13,51.04
01/23 14,44.37
01/23 15,34.62
01/23 16,18.65
01/23 17,5.44
01/23 18,0.65
01/23 19,0.00
01/23 20,0.00
01/23 21,0.00
01/23 22,0.00
01/23 23,0.00
01/24 00,0.00
01/24 01,0.00
01/24 02,0.00
01/24 03,0.00
01/24 04,0.00
01/24 05,1.63
01/24 06,10.95
01/24 07,30.21
01/24 08,50.99
01/24 09,66.46
01/24 10,75.85
01/24 11,79.67
01/24 12,78.42
01/24 13,72.22
01/24 14,60.53
01/24 15,42.89
01/24 16,21.39
01/24 17,5.97
01/24 18,0.98
01/24 19,0.00
01/24 20,0.00
01/24 21,0.00
01/24 22,0.00
01/24 23,0.00
01/25 00,0.00
01/25 01,0.00
01/25 02,0.00
01/25 03,0.00
01/25 04,0.00
01/25 05,1.94
01/25 06,11.18
01/25 07,29.30
01/25 08,49.12
01/25 09,63.66
01/25 10,71.98
01/25 11,75.35
01/25 12,74.33
01/25 13,68.38
01/25 14,57.28
01/25 15,40.86
01/25 16,20.73
01/25 17,6.01
01/25 18,0.90
01/25 19,0.00
01/25 20,0.00
01/25 21,0.00
01/25 22,0.00
01/25 23,0.00
01/26 00,0.00
01/26 01,0.00
01/26 02,0.00
01/26 03,0.00
01/26 04,0.00
01/26 05,1.50
01/26 06,11.40
01/26 07,32.00
01/26 08,53.79
01/26 09,69.65
01/26 10,78.98
01/26 11,82.38
01/26 12,80.63
01/26 13,73.80
01/26 14,61.40
01/26 15,43.30
01/26 16,21.69
01/26 17,6.16
01/26 18,0.90
01/26 19,0.00
01/26 20,0.00
01/26 21,0.00
01/26 22,0.00
01/26 23,0.00
01/27 00,0.00
01/27 01,0.00
01/27 02,0.00
01/27 03,0.00
01/27 04,0.00
01/27 05,1.95
01/27 06,11.42
01/27 07,22.45
01/27 08,27.00
01/27 09,40.27
01/27 10,55.94
01/27 11,58.70
01/27 12,54.40
01/27 13,47.53
01/27 14,40.45
01/27 15,30.72
01/27 16,18.40
01/27 17,6.35
01/27 18,0.53
01/27 19,0.00
01/27 20,0.00
01/27 21,0.00
01/27 22,0.00
01/27 23,0.00
01/28 00,0.00
01/28 01,0.00
01/28 02,0.00
01/28 03,0.00
01/28 04,0.00
01/28 05,2.08
01/28 06,10.71
01/28 07,26.80
01/28 08,43.23
01/28 09,57.28
01/28 10,67.15
01/28 11,63.94
01/28 12,57.84
01/28 13,55.63
01/28 14,48.79
01/28 15,35.12
01/28 16,19.00
01/28 17,7.08
01/28 18,1.20
01/28 19,0.00
01/28 20,0.00
01/28 21,0.00
01/28 22,0.00
01/28 23,0.00
01/29 00,0.00
01/29 01,0.00
01/29 02,0.00
01/29 03,0.00
01/29 04,0.00
01/29 05,1.93
01/29 06,9.80
01/29 07,22.45
01/29 08,33.02
01/29 09,38.13
01/29 10,38.88
01/29 11,40.14
01/29 12,41.80
01/29 13,41.30
01/29 14,39.20
01/29 15,31.37
01/29 16,18.34
01/29 17,6.93
01/29 18,1.12
01/29 19,0.00
01/29 20,0.00
01/29 21,0.00
01/29 22,0.00
01/29 23,0.00
01/30 00,0.00
01/30 01,0.00
01/30 02,0.00
01/30 03,0.00
01/30 04,0.00
01/30 05,1.57
01/30 06,8.07
01/30 07,17.88
01/30 08,26.41
01/30 09,32.07
01/30 10,34.43
01/30 11,28.90
01/30 12,25.44
01/30 13,25.18
01/30 14,20.65
01/30 15,14.27
01/30 16,5.70
01/30 17,1.02
01/30 18,0.00
01/30 19,0.00
01/30 20,0.00
01/30 21,0.00
01/30 22,0.00
01/30 23,0.00
01/31 00,0.00
01/31 01,0.00
01/31 02,0.00
01/31 03,0.00
01/31 04,0.00
01/31 05,1.70
01/31 06,10.43
01/31 07,27.65
01/31 08,45.23
01/31 09,57.76
01/31 10,63.60
01/31 11,68.46
01/31 12,72.83
01/31 13,64.93
01/31 14,48.05
01/31 15,32.38
01/31 16,18.20
01/31 17,5.79
01/31 18,0.41
01/31 19,0.00
01/31 20,0.00
01/31 21,0.00
01/31 22,0.00
01/31 23,0.00
02/01 00,0.00
02/01 01,0.00
02/01 02,0.00
02/01 03,0.00
02/01 04,0.00
02/01 05,1.41
02/01 06,10.81
02/01 07,30.45
02/01 08,51.48
02/01 09,67.03
02/01 10,76.40
02/01 11,80.17
02/01 12,78.95
02/01 13,72.74
02/01 14,61.11
02/01 15,43.78
02/01 16,22.29
02/01 17,6.37
02/01 18,0.94
02/01 19,0.00
02/01 20,0.00
02/01 21,0.00
02/01 22,0.00
02/01 23,0.00
02/02 00,0.00
02/02 01,0.00
02/02 02,0.00
02/02 03,0.00
02/02 04,0.00
02/02 05,1.50
02/02 06,10.76
02/02 07,29.68
02/02 08,50.02
02/02 09,65.23
02/02 10,74.45
02/02 11,78.50
02/02 12,77.70
02/02 13,71.77
02/02 14,60.32
02/02 15,43.27
02/02 16,22.14
02/02 17,6.40
02/02 18,0.94
02/02 19,0.00
02/02 20,0.00
02/02 21,0.00
02/02 22,0.00
02/02 23,0.00
02/03 00,0.00
02/03 01,0.00
02/03 02,0.00
02/03 03,0.00
02/03 04,0.00
02/03 05,0.55
02/03 06,4.02
02/03 07,6.77
02/03 08,11.96
02/03 09,22.20
02/03 10,29.77
02/03 11,38.05
02/03 12,37.82
02/03 13,28.52
02/03 14,24.55
02/03 15,19.68
02/03 16,11.37
02/03 17,3.71
02/03 18,0.00
02/03 19,0.00
02/03 20,0.00
02/03 21,0.00
02/03 22,0.00
02/03 23,0.00
02/04 00,0.00
02/04 01,0.00
02/04 02,0.00
02/04 03,0.00
02/04 04,0.00
02/04 05,1.28
02/04 06,3.64
02/04 07,5.90
02/04 08,12.57
02/04 09,25.37
02/04 10,31.34
02/04 11,29.05
02/04 12,23.40
02/04 13,24.58
02/04 14,26.65
02/04 15,17.47
02/04 16,8.25
02/04 17,1.93
02/04 18,0.00
02/04 19,0.00
02/04 20,0.00
02/04 21,0.00
02/04 22,0.00
02/04 23,0.00
02/05 00,0.00
02/05 01,0.00
02/05 02,0.00
02/05 03,0.00
02/05 04,0.00
02/05 05,0.40
02/05 06,3.75
02/05 07,16.45
02/05 08,34.05
02/05 09,45.61
02/05 10,48.97
02/05 11,33.20
02/05 12,20.71
02/05 13,31.87
02/05 14,32.72
02/05 15,23.05
02/05 16,15.47
02/05 17,5.81
02/05 18,0.67
02/05 19,0.00
02/05 20,0.00
02/05 21,0.00
02/05 22,0.00
02/05 23,0.00
02/06 00,0.00
02/06 01,0.00
02/06 02,0.00
02/06 03,0.00
02/06 04,0.00
02/06 05,1.61
02/06 06,10.95
02/06 07,29.50
02/06 08,48.48
02/06 09,62.88
02/06 10,72.00
02/06 11,74.90
02/06 12,72.95
02/06 13,66.38
02/06 14,55.37
02/06 15,40.05
02/06 16,21.18
02/06 17,6.52
02/06 18,0.88
02/06 19,0.00
02/06 20,0.00
02/06 21,0.00
02/06 22,0.00
02/06 23,0.00
02/07 00,0.00
02/07 01,0.00
02/07 02,0.00
02/07 03,0.00
02/07 04,0.00
02/07 05,0.00
02/07 06,2.76
02/07 07,16.88
02/07 08,28.57
02/07 09,35.40
02/07 10,40.59
02/07 11,41.22
02/07 12,42.68
02/07 13,39.83
02/07 14,32.88
02/07 15,24.75
02/07 16,15.04
02/07 17,4.61
02/07 18,0.67
02/07 19,0.00
02/07 20,0.00
02/07 21,0.00
02/07 22,0.00
02/07 23,0.00
02/08 00,0.00
02/08 01,0.00
02/08 02,0.00
02/08 03,0.00
02/08 04,0.00
02/08 05,1.57
02/08 06,10.76
02/08 07,29.41
02/08 08,49.39
02/08 09,64.40
02/08 10,73.43
02/08 11,77.10
02/08 12,76.10
02/08 13,70.43
02/08 14,59.36
02/08 15,42.57
02/08 16,22.22
02/08 17,6.62
02/08 18,0.88
02/08 19,0.00
02/08 20,0.00
02/08 21,0.00
02/08 22,0.00
02/08 23,0.00
02/09 00,0.00
02/09 01,0.00
02/09 02,0.00
02/09 03,0.00
02/09 04,0.00
02/09 05,1.55
02/09 06,10.80
02/09 07,28.95
02/09 08,47.79
02/09 09,62.09
02/09 10,71.29
02/09 11,74.48
02/09 12,73.88
02/09 13,69.40
02/09 14,58.92
02/09 15,42.89
02/09 16,22.77
02/09 17,6.97
02/09 18,0.88
02/09 19,0.00
02/09 20,0.00
02/09 21,0.00
02/09 22,0.00
02/09 23,0.00
02/10 00,0.00
02/10 01,0.00
02/10 02,0.00
02/10 03,0.00
02/10 04,0.00
02/10 05,1.25
02/10 06,11.23
02/10 07,32.37
02/10 08,54.60
02/10 09,70.80
02/10 10,80.30
02/10 11,83.90
02/10 12,82.42
02/10 13,76.06
02/10 14,64.08
02/10 15,46.05
02/10 16,23.75
02/10 17,6.84
02/10 18,0.90
02/10 19,0.00
02/10 20,0.00
02/10 21,0.00
02/10 22,0.00
02/10 23,0.00
02/11 00,0.00
02/11 01,0.00
02/11 02,0.00
02/11 03,0.00
02/11 04,0.00
02/11 05,1.25
02/11 06,10.89
02/11 07,31.06
02/11 08,52.03
02/11 09,67.37
02/11 10,76.32
02/11 11,79.75
02/11 12,78.55
02/11 13,72.70
02/11 14,61.50
02/11 15,44.28
02/11 16,23.03
02/11 17,6.70
02/11 18,0.85
02/11 19,0.00
02/11 20,0.00
02/11 21,0.00
02/11 22,0.00
02/11 23,0.00
02/12 00,0.00
02/12 01,0.00
02/12 02,0.00
02/12 03,0.00
02/12 04,0.00
02/12 05,1.24
02/12 06,11.47
02/12 07,33.55
02/12 08,58.09
02/12 09,76.07
02/12 10,71.35
02/12 11,60.15
02/12 12,59.40
02/12 13,53.21
02/12 14,42.85
02/12 15,31.11
02/12 16,17.88
02/12 17,6.15
02/12 18,0.57
02/12 19,0.00
02/12 20,0.00
02/12 21,0.00
02/12 22,0.00
02/12 23,0.00
02/13 00,0.00
02/13 01,0.00
02/13 02,0.00
02/13 03,0.00
02/13 04,0.00
02/13 05,0.62
02/13 06,3.14
02/13 07,7.75
02/13 08,12.90
02/13 09,16.20
02/13 10,19.99
02/13 11,21.35
02/13 12,20.39
02/13 13,20.70
02/13 14,17.02
02/13 15,12.36
02/13 16,8.09
02/13 17,2.58
02/13 18,0.00
02/13 19,0.00
02/13 20,0.00
02/13 21,0.00
02/13 22,0.00
02/13 23,0.00
02/14 00,0.00
02/14 01,0.00
02/14 02,0.00
02/14 03,0.00
02/14 04,0.00
02/14 05,0.00
02/14 06,1.36
02/14 07,4.12
02/14 08,6.84
02/14 09,9.29
02/14 10,11.33
02/14 11,12.08
02/14 12,11.61
02/14 13,10.51
02/14 14,8.95
02/14 15,6.62
02/14 16,3.50
02/14 17,1.02
02/14 18,0.00
02/14 19,0.00
02/14 20,0.00
02/14 21,0.00
02/14 22,0.00
02/14 23,0.00
02/15 00,0.00
02/15 01,0.00
02/15 02,0.00
02/15 03,0.00
02/15 04,0.00
02/15 05,0.88
02/15 06,10.39
02/15 07,32.82
02/15 08,57.07
02/15 09,76.42
02/15 10,86.86
02/15 11,69.83
02/15 12,41.00
02/15 13,21.83
02/15 14,8.81
02/15 15,4.21
02/15 16,2.40
02/15 17,0.74
02/15 18,0.00
02/15 19,0.00
02/15 20,0.00
02/15 21,0.00
02/15 22,0.00
02/15 23,0.00
02/16 00,0.00
02/16 01,0.00
02/16 02,0.00
02/16 03,0.00
02/16 04,0.00
02/16 05,1.22
02/16 06,10.49
02/16 07,29.31
02/16 08,48.79
02/16 09,63.51
02/16 10,72.65
02/16 11,76.46
02/16 12,75.65
02/16 13,69.98
02/16 14,58.78
02/16 15,42.47
02/16 16,22.67
02/16 17,6.78
02/16 18,0.68
02/16 19,0.00
02/16 20,0.00
02/16 21,0.00
02/16 22,0.00
02/16 23,0.00
02/17 00,0.00
02/17 01,0.00
02/17 02,0.00
02/17 03,0.00
02/17 04,0.00
02/17 05,1.22
02/17 06,8.75
02/17 07,24.95
02/17 08,39.98
02/17 09,47.20
02/17 10,55.57
02/17 11,66.02
02/17 12,67.29
02/17 13,58.58
02/17 14,48.04
02/17 15,37.95
02/17 16,23.06
02/17 17,7.57
02/17 18,0.80
02/17 19,0.00
02/17 20,0.00
02/17 21,0.00
02/17 22,0.00
02/17 23,0.00
02/18 00,0.00
02/18 01,0.00
02/18 02,0.00
02/18 03,0.00
02/18 04,0.00
02/18 05,1.23
02/18 06,5.58
02/18 07,21.37
02/18 08,39.75
02/18 09,52.92
02/18 10,62.60
02/18 11,69.25
02/18 12,69.98
02/18 13,51.77
02/18 14,36.65
02/18 15,30.98
02/18 16,18.72
02/18 17,5.67
02/18 18,0.00
