Timestamp,Production (kW),Load kW,Load kVA
01/08 08,50.75,236.8,254.3
01/08 09,65.54,236.0,253.5
01/08 10,73.99,240.8,258.7
01/08 11,76.8,252.3,271.0
01/08 12,74.8,259.1,278.3
01/08 13,68.12,263.3,282.8
01/08 14,56.12,251.0,269.6
01/08 15,38.68,247.7,266.1
01/08 16,18.05,237.1,254.7
01/08 17,4.6,235.4,252.8
01/08 18,0.94,255.0,273.9
01/08 19,0.0,272.5,344.4
01/08 20,0.0,260.7,301.1
01/08 21,0.0,253.4,283.6
01/08 22,0.0,236.6,254.2
01/08 23,0.0,227.9,272.0
01/09 00,0.0,224.5,241.1
01/09 01,0.0,216.5,232.5
01/09 02,0.0,215.1,231.0
01/09 03,0.0,217.8,233.9
01/09 04,0.0,214.7,230.6
01/09 05,1.32,232.2,249.4
01/09 06,5.65,252.6,271.3
01/09 07,9.64,223.1,239.6
01/09 08,13.0,231.1,248.2
01/09 09,18.23,231.6,248.8
01/09 10,21.76,239.8,257.6
01/09 11,21.12,259.3,278.6
01/09 12,19.81,264.3,283.9
01/09 13,16.86,254.4,273.2
01/09 14,14.36,250.1,268.6
01/09 15,13.15,241.2,272.7
01/09 16,8.69,239.2,264.8
01/09 17,3.45,232.5,249.7
01/09 18,0.37,248.4,266.8
01/09 19,0.0,278.8,299.5
01/09 20,0.0,265.1,284.8
01/09 21,0.0,251.9,318.3
01/09 22,0.0,246.2,284.3
01/09 23,0.0,235.7,287.7
01/10 00,0.0,227.9,244.8
01/10 01,0.0,219.2,235.4
01/10 02,0.0,219.1,235.4
01/10 03,0.0,217.4,233.5
01/10 04,0.0,218.1,234.3
01/10 05,1.72,227.6,244.4
01/10 06,6.08,246.9,265.2
01/10 07,11.63,216.7,232.8
01/10 08,16.78,208.0,223.4
01/10 09,20.88,235.5,252.9
01/10 10,24.95,221.1,237.5
01/10 11,28.88,234.9,252.3
01/10 12,28.67,239.1,256.8
01/10 13,21.78,240.7,258.5
01/10 14,15.5,232.8,250.1
01/10 15,11.39,220.4,278.5
01/10 16,5.27,213.5,257.6
01/10 17,1.03,221.9,238.4
01/10 18,0.0,242.2,299.1
01/10 19,0.0,268.2,306.4
01/10 20,0.0,248.8,284.3
01/10 21,0.0,244.3,262.4
01/10 22,0.0,232.4,249.6
01/10 23,0.0,222.3,248.7
01/11 00,0.0,215.8,231.8
01/11 01,0.0,206.8,222.2
01/11 02,0.0,211.7,227.4
01/11 03,0.0,208.1,223.5
01/11 04,0.0,206.2,221.5
01/11 05,1.32,217.9,234.1
01/11 06,4.98,250.2,268.8
01/11 07,9.86,190.7,204.8
01/11 08,11.4,191.0,205.2
01/11 09,9.57,231.7,248.9
01/11 10,17.72,238.5,256.2
01/11 11,27.33,242.9,260.9
01/11 12,26.6,247.1,265.4
01/11 13,26.6,244.4,262.5
01/11 14,26.39,241.3,259.2
01/11 15,21.0,235.1,280.6
01/11 16,12.46,234.5,251.8
01/11 17,4.42,234.9,252.3
01/11 18,0.45,249.6,268.1
01/11 19,0.0,277.7,298.3
01/11 20,0.0,265.6,285.2
01/11 21,0.0,251.6,284.5
01/11 22,0.0,246.9,279.2
01/11 23,0.0,238.7,256.4
01/12 00,0.0,233.1,250.4
