Timestamp,Production (kW),Load kW,Load kVA
03/31 00,0.0,234.9,252.3
03/31 01,0.0,224.1,240.7
03/31 02,0.0,230.9,248.0
03/31 03,0.0,224.0,240.6
03/31 04,0.0,224.1,240.7
03/31 05,0.82,220.3,236.6
03/31 06,12.02,246.2,264.4
03/31 07,34.32,238.3,256.0
03/31 08,49.75,237.2,254.8
03/31 09,59.62,280.0,300.8
03/31 10,70.25,287.2,308.5
03/31 11,62.97,290.2,311.7
03/31 12,58.1,303.5,326.0
03/31 13,47.06,300.7,323.0
03/31 14,18.52,304.0,326.6
03/31 15,9.03,293.7,318.7
03/31 16,6.52,287.5,339.4
03/31 17,1.73,280.6,301.4
03/31 18,0.0,309.1,332.0
03/31 19,0.0,333.5,398.0
03/31 20,0.0,322.7,346.6
03/31 21,0.0,303.5,343.1
03/31 22,0.0,288.6,340.7
03/31 23,0.0,264.0,283.6
04/01 00,0.0,255.0,273.9
04/01 01,0.0,252.3,271.0
04/01 02,0.0,251.2,269.9
04/01 03,0.0,255.1,274.0
04/01 04,0.0,253.7,272.5
04/01 05,1.38,256.0,275.0
04/01 06,12.58,282.5,303.4
04/01 07,33.73,288.1,309.5
04/01 08,53.1,286.4,307.7
04/01 09,66.72,290.7,312.2
04/01 10,74.7,290.8,312.4
04/01 11,76.88,291.7,313.3
04/01 12,75.69,310.9,334.0
04/01 13,70.12,303.8,326.3
04/01 14,58.48,289.1,310.6
04/01 15,41.25,286.3,307.5
04/01 16,19.59,288.9,310.4
04/01 17,4.04,285.1,322.4
04/01 18,0.0,310.6,340.4
04/01 19,0.0,326.0,384.8
04/01 20,0.0,321.9,402.0
04/01 21,0.0,305.0,364.0
04/01 22,0.0,289.1,310.5
04/01 23,0.0,264.5,284.1
04/02 00,0.0,254.1,272.9
04/02 01,0.0,251.3,269.9
04/02 02,0.0,245.5,263.7
04/02 03,0.0,249.3,267.8
04/02 04,0.0,255.3,274.3
04/02 05,0.0,251.2,269.8
04/02 06,4.74,274.5,294.8
04/02 07,10.87,264.5,284.1
04/02 08,8.42,272.6,292.8
04/02 09,5.15,281.5,302.3
04/02 10,14.82,288.3,309.7
04/02 11,24.02,292.9,314.6
04/02 12,46.89,308.0,330.8
04/02 13,67.1,296.7,318.7
04/02 14,62.6,286.0,307.2
04/02 15,45.3,287.0,311.4
04/02 16,19.37,285.3,306.4
04/02 17,5.21,273.6,293.9
04/02 18,0.0,303.2,350.1
04/02 19,0.0,309.7,332.7
04/02 20,0.0,298.4,360.1
04/02 21,0.0,287.5,343.1
04/02 22,0.0,271.8,297.9
04/02 23,0.0,266.6,286.3
04/03 00,0.0,256.4,275.3
04/03 01,0.0,247.6,265.9
04/03 02,0.0,245.5,263.7
04/03 03,0.0,243.4,261.5
04/03 04,0.0,226.3,243.1
04/03 05,0.68,141.6,152.1
04/03 06,6.34,292.2,313.8
04/03 07,7.47,258.7,277.9
04/03 08,7.62,275.1,295.5
04/03 09,13.78,283.9,304.9
04/03 10,22.22,285.2,306.3
04/03 11,39.17,286.1,307.3
04/03 12,42.65,297.3,319.3
04/03 13,29.8,287.7,309.0
04/03 14,29.0,282.7,303.7
04/03 15,26.12,278.9,325.6
04/03 16,12.56,276.2,296.7
04/03 17,3.61,266.3,294.9
04/03 18,0.0,300.3,322.5
04/03 19,0.0,310.1,333.1
04/03 20,0.0,293.7,315.5
04/03 21,0.0,290.2,362.5
04/03 22,0.0,269.4,289.4
04/03 23,0.0,252.7,271.5
04/04 00,0.0,247.7,266.0
04/04 01,0.0,242.9,260.9
04/04 02,0.0,238.2,255.8
04/04 03,0.0,235.2,252.7
04/04 04,0.0,243.0,261.0
04/04 05,1.87,255.5,274.4
04/04 06,16.54,270.4,290.5
04/04 07,42.43,259.0,278.2
04/04 08,65.43,259.1,278.3
04/04 09,78.9,278.5,299.1
04/04 10,64.23,276.2,296.7
04/04 11,43.71,282.2,303.1
04/04 12,42.65,289.4,310.8
04/04 13,37.88,285.8,307.0
04/04 14,26.98,282.1,303.0
04/04 15,18.35,269.8,318.5
04/04 16,9.38,264.5,284.1
04/04 17,1.93,268.4,335.3
04/04 18,0.0,284.9,329.0
04/04 19,0.0,313.3,350.5
04/04 20,0.0,295.1,356.1
04/04 21,0.0,288.2,309.5
04/04 22,0.0,277.2,297.8
04/04 23,0.0,256.2,275.2
04/05 00,0.0,248.3,266.7
04/05 01,0.0,243.2,261.2
04/05 02,0.0,243.0,261.0
04/05 03,0.0,246.8,265.1
04/05 04,0.0,242.6,260.6
04/05 05,1.28,248.7,267.2
04/05 06,15.49,270.0,290.0
04/05 07,37.65,265.9,285.7
04/05 08,54.65,245.9,264.1
04/05 09,74.01,230.5,247.6
04/05 10,74.35,228.6,245.5
04/05 11,53.7,260.7,280.1
04/05 12,34.23,272.2,292.4
04/05 13,14.46,273.7,294.0
04/05 14,7.03,264.0,283.6
04/05 15,14.27,252.5,271.2
04/05 16,13.31,257.3,317.6
04/05 17,3.47,261.9,284.1
04/05 18,0.0,286.4,307.6
04/05 19,0.0,306.5,329.2
04/05 20,0.0,290.8,312.3
04/05 21,0.0,286.5,314.0
04/05 22,0.0,281.9,352.1
04/05 23,0.0,270.1,290.1
04/06 00,0.0,254.7,273.5
04/06 01,0.0,249.2,267.6
04/06 02,0.0,245.4,263.6
04/06 03,0.0,238.6,256.3
04/06 04,0.0,231.8,248.9
04/06 05,1.38,235.4,252.9
04/06 06,11.95,232.1,249.3
04/06 07,30.67,238.1,255.7
04/06 08,48.8,239.3,257.0
04/06 09,60.22,245.5,263.7
04/06 10,67.37,255.3,274.2
04/06 11,72.16,264.5,284.1
04/06 12,69.65,274.6,294.9
04/06 13,62.75,272.5,292.7
04/06 14,51.57,273.5,293.8
04/06 15,36.02,270.8,309.4
04/06 16,17.82,261.7,292.8
04/06 17,4.03,265.1,284.7
04/06 18,0.0,286.2,307.4
04/06 19,0.0,295.2,368.7
04/06 20,0.0,285.5,316.1
04/06 21,0.0,276.1,318.8
04/06 22,0.0,268.0,309.5
04/06 23,0.0,254.4,273.3
04/07 00,0.0,245.8,264.0
04/07 01,0.0,238.5,256.2
04/07 02,0.0,240.3,258.1
04/07 03,0.0,240.4,258.2
04/07 04,0.0,243.0,261.0
04/07 05,1.81,254.8,273.7
04/07 06,11.59,271.5,291.6
04/07 07,25.84,261.6,281.0
04/07 08,44.62,224.7,241.3
04/07 09,61.93,244.0,262.1
04/07 10,66.5,258.3,277.5
04/07 11,55.8,269.2,289.1
04/07 12,40.77,276.8,297.3
04/07 13,31.74,263.8,283.3
04/07 14,31.45,261.3,280.6
04/07 15,30.24,258.8,292.7
04/07 16,16.21,245.9,264.1
04/07 17,4.25,252.0,287.9
04/07 18,0.0,280.9,301.7
04/07 19,0.0,301.6,323.9
04/07 20,0.0,284.3,335.5
04/07 21,0.0,265.6,285.3
04/07 22,0.0,254.0,272.8
04/07 23,0.0,248.5,281.0
04/08 00,0.0,237.8,255.4
04/08 01,0.0,229.8,246.9
04/08 02,0.0,232.5,249.7
04/08 03,0.0,229.0,246.0
04/08 04,0.0,231.5,248.6
04/08 05,0.0,244.1,262.2
04/08 06,1.95,267.3,287.1
04/08 07,6.98,246.9,265.2
04/08 08,12.49,244.4,262.5
04/08 09,17.0,263.0,282.5
04/08 10,19.43,265.9,285.6
04/08 11,21.0,281.8,302.6
04/08 12,20.34,286.8,308.1
04/08 13,16.65,286.2,307.4
04/08 14,11.34,282.3,303.2
04/08 15,5.51,275.6,348.3
04/08 16,1.59,264.9,284.6
04/08 17,0.0,258.6,277.7
04/08 18,0.0,293.0,338.4
04/08 19,0.0,306.6,357.9
04/08 20,0.0,294.9,316.7
04/08 21,0.0,288.0,343.7
04/08 22,0.0,277.9,339.2
04/08 23,0.0,258.7,283.6
04/09 00,0.0,254.0,272.8
04/09 01,0.0,246.5,264.8
04/09 02,0.0,248.0,266.4
04/09 03,0.0,249.9,268.5
04/09 04,0.0,249.4,267.9
04/09 05,0.9,259.3,278.5
04/09 06,6.08,271.2,291.3
04/09 07,20.55,264.6,284.3
04/09 08,27.8,241.6,259.5
04/09 09,34.82,252.5,271.2
04/09 10,56.1,256.5,275.5
04/09 11,64.85,261.4,280.8
04/09 12,58.08,280.5,301.3
04/09 13,50.07,264.8,284.4
04/09 14,47.02,258.1,277.2
04/09 15,41.95,256.9,275.9
04/09 16,23.04,251.3,270.0
04/09 17,4.77,266.1,285.9
04/09 18,0.0,290.8,350.9
04/09 19,0.0,302.9,325.3
04/09 20,0.0,282.3,322.6
04/09 21,0.0,271.2,313.2
04/09 22,0.0,260.7,280.1
04/09 23,0.0,252.5,271.2
04/10 00,0.0,245.0,263.2
04/10 01,0.0,237.7,255.4
04/10 02,0.0,236.4,253.9
04/10 03,0.0,242.5,260.5
04/10 04,0.0,235.7,253.2
04/10 05,1.26,260.9,280.2
04/10 06,13.97,285.0,306.2
04/10 07,40.82,259.3,278.5
04/10 08,60.9,237.3,254.9
04/10 09,62.78,261.5,280.9
04/10 10,48.31,289.3,310.7
04/10 11,39.57,268.8,288.7
04/10 12,35.56,286.8,308.0
04/10 13,27.56,276.4,296.9
04/10 14,24.15,264.3,283.9
04/10 15,18.15,272.8,344.8
04/10 16,9.78,269.4,289.4
04/10 17,2.15,270.9,290.9
04/10 18,0.0,289.7,353.6
04/10 19,0.0,300.7,358.9
04/10 20,0.0,293.4,328.2
04/10 21,0.0,282.8,337.5
04/10 22,0.0,266.4,321.5
04/10 23,0.0,256.8,275.9
04/11 00,0.0,244.6,262.7
04/11 01,0.0,233.8,251.2
04/11 02,0.0,235.2,252.6
04/11 03,0.0,232.0,249.1
04/11 04,0.46,238.0,255.6
04/11 05,5.0,251.6,270.3
04/11 06,14.73,275.3,295.7
04/11 07,23.8,264.6,284.2
04/11 08,29.17,251.5,270.2
04/11 09,30.18,261.2,280.5
04/11 10,31.43,287.4,308.7
04/11 11,32.7,287.2,308.5
04/11 12,28.72,296.2,318.2
04/11 13,22.5,286.9,308.1
04/11 14,12.21,280.6,301.4
04/11 15,2.57,273.6,299.9
04/11 16,0.0,259.5,284.4
04/11 17,0.0,259.7,278.9
04/11 18,0.0,288.6,310.0
04/11 19,0.0,315.6,385.2
04/11 20,0.0,298.9,321.1
04/11 21,0.0,286.2,337.8
04/11 22,0.0,263.8,308.0
04/11 23,0.0,254.8,273.7
04/12 00,0.0,239.8,257.6
04/12 01,0.0,237.0,254.6
04/12 02,0.0,231.3,248.4
04/12 03,0.0,240.6,258.5
04/12 04,0.0,235.3,252.7
04/12 05,5.18,247.5,265.8
04/12 06,14.63,242.3,260.2
04/12 07,20.79,271.1,291.2
04/12 08,30.1,253.6,272.4
04/12 09,34.75,275.6,296.0
04/12 10,38.12,274.9,295.3
04/12 11,46.58,281.7,302.5
04/12 12,46.5,296.1,318.0
04/12 13,40.44,281.3,302.1
04/12 14,31.11,265.5,285.1
04/12 15,17.25,259.5,281.5
04/12 16,4.25,257.8,321.9
04/12 17,0.0,267.4,287.3
04/12 18,0.0,301.1,323.5
04/12 19,0.0,315.1,338.4
04/12 20,0.0,291.6,322.9
04/12 21,0.0,288.0,329.0
04/12 22,0.0,262.4,313.2
04/12 23,0.0,255.8,289.2
04/13 00,0.0,247.8,266.2
04/13 01,0.0,238.8,256.5
04/13 02,0.0,235.0,252.4
04/13 03,0.0,235.4,252.8
04/13 04,0.0,233.5,250.9
04/13 05,4.66,234.9,252.3
04/13 06,15.06,227.3,244.1
04/13 07,27.04,233.6,250.9
04/13 08,35.92,254.8,273.7
04/13 09,39.36,255.6,274.5
04/13 10,38.39,264.1,283.7
04/13 11,33.97,276.9,297.4
04/13 12,27.45,287.7,309.1
04/13 13,18.05,270.4,290.5
04/13 14,8.07,266.0,285.7
04/13 15,1.76,269.6,325.4
04/13 16,0.0,277.1,297.7
04/13 17,0.0,271.7,291.8
04/13 18,0.0,310.1,336.5
04/13 19,0.0,319.7,346.9
04/13 20,0.0,290.9,336.0
04/13 21,0.0,278.0,351.3
04/13 22,0.0,265.6,285.2
04/13 23,0.0,255.9,277.7
04/14 00,0.0,245.2,263.3
04/14 01,0.0,240.2,258.0
04/14 02,0.0,244.9,263.0
04/14 03,0.0,239.3,257.1
04/14 04,1.07,238.2,255.8
04/14 05,13.57,257.8,276.9
04/14 06,36.19,288.0,309.4
04/14 07,55.78,269.4,289.4
04/14 08,68.55,273.7,294.0
04/14 09,75.16,293.4,315.1
04/14 10,77.62,282.9,303.9
04/14 11,75.85,294.2,316.0
04/14 12,69.68,302.2,324.6
04/14 13,58.02,286.0,307.2
04/14 14,41.02,285.0,306.2
04/14 15,19.49,285.7,306.8
04/14 16,3.82,272.4,292.6
04/14 17,0.0,272.1,292.3
04/14 18,0.0,313.5,336.7
04/14 19,0.0,334.3,390.3
04/14 20,0.0,307.0,339.9
04/14 21,0.0,289.2,353.0
04/14 22,0.0,270.4,290.5
04/14 23,0.0,256.9,275.9
04/15 00,0.0,248.7,267.1
04/15 01,0.0,238.0,255.7
04/15 02,0.0,237.8,255.4
04/15 03,0.0,244.0,262.1
04/15 04,1.4,238.0,255.7
04/15 05,15.55,259.4,278.7
04/15 06,40.28,297.2,319.2
04/15 07,60.68,276.9,297.4
04/15 08,74.49,270.0,290.0
04/15 09,81.98,288.7,310.1
04/15 10,84.06,288.4,309.8
04/15 11,81.75,284.7,305.8
04/15 12,74.63,294.7,316.5
04/15 13,61.73,291.4,313.0
04/15 14,42.84,269.4,289.4
04/15 15,19.75,267.0,318.7
04/15 16,3.75,259.1,319.8
04/15 17,0.0,253.0,305.3
04/15 18,0.0,303.1,325.6
04/15 19,0.0,327.3,351.5
04/15 20,0.0,302.6,365.2
04/15 21,0.0,288.4,356.1
04/15 22,0.0,265.9,285.6
04/15 23,0.0,252.8,271.6
04/16 00,0.0,246.2,264.4
04/16 01,0.0,239.2,256.9
04/16 02,0.0,240.7,258.5
04/16 03,0.0,241.4,259.3
04/16 04,0.52,238.4,256.1
04/16 05,1.19,253.7,272.5
04/16 06,6.87,282.4,303.3
04/16 07,19.7,269.2,289.2
04/16 08,32.48,268.0,287.9
04/16 09,37.65,278.0,298.6
04/16 10,45.54,277.0,297.5
04/16 11,46.55,278.9,299.6
04/16 12,42.52,294.6,316.4
04/16 13,43.62,299.5,321.7
04/16 14,25.04,262.2,281.6
04/16 15,6.2,260.8,294.8
04/16 16,1.72,261.5,302.1
04/16 17,0.0,276.0,312.0
04/16 18,0.0,329.4,361.0
04/16 19,0.0,331.6,414.1
04/16 20,0.0,304.1,326.6
04/16 21,0.0,293.4,315.2
04/16 22,0.0,275.7,315.1
04/16 23,0.0,262.6,282.1
04/17 00,0.0,261.4,280.8
04/17 01,0.0,258.3,277.5
04/17 02,0.0,255.8,274.8
04/17 03,0.0,256.2,275.2
04/17 04,0.0,251.1,269.7
04/17 05,3.24,268.7,288.6
04/17 06,7.62,293.6,315.3
04/17 07,13.72,296.3,318.3
04/17 08,20.38,271.5,291.6
04/17 09,21.46,291.8,313.4
04/17 10,24.99,284.1,305.2
04/17 11,30.23,289.6,311.1
04/17 12,27.8,307.0,329.8
04/17 13,17.19,305.2,327.8
04/17 14,5.74,291.1,312.7
04/17 15,0.69,289.7,361.8
04/17 16,0.0,272.1,292.3
04/17 17,0.0,272.9,333.1
04/17 18,0.0,328.2,371.0
04/17 19,0.0,354.1,384.2
04/17 20,0.0,312.4,394.8
04/17 21,0.0,289.7,361.8
04/17 22,0.0,279.7,349.4
04/17 23,0.0,267.5,334.1
04/18 00,0.0,257.2,276.3
04/18 01,0.0,250.1,268.6
04/18 02,0.0,246.6,264.9
04/18 03,0.0,252.4,271.1
04/18 04,0.0,245.8,264.0
04/18 05,5.07,258.4,277.5
04/18 06,24.9,278.6,299.3
04/18 07,46.45,285.7,306.9
04/18 08,35.92,271.0,291.1
04/18 09,18.45,260.2,279.5
04/18 10,20.43,264.9,284.5
04/18 11,16.57,265.7,285.4
04/18 12,17.83,282.1,303.0
04/18 13,24.17,281.8,302.7
04/18 14,20.86,273.3,293.6
04/18 15,11.91,266.0,300.8
04/18 16,2.68,261.6,312.2
04/18 17,0.0,256.3,275.2
04/18 18,0.0,300.2,322.5
04/18 19,0.0,329.0,371.9
04/18 20,0.0,304.1,326.7
04/18 21,0.0,288.3,360.0
04/18 22,0.0,273.6,326.5
04/18 23,0.0,264.2,283.8
04/19 00,0.0,253.4,272.2
04/19 01,0.0,242.2,260.1
04/19 02,0.0,251.5,270.1
04/19 03,0.0,252.6,271.4
04/19 04,0.48,249.3,267.8
04/19 05,5.77,260.8,280.2
04/19 06,21.67,278.2,298.9
04/19 07,31.95,280.7,301.5
04/19 08,41.76,218.0,234.1
04/19 09,54.65,221.3,237.7
04/19 10,44.21,225.8,242.5
04/19 11,37.82,232.1,249.3
04/19 12,48.58,259.2,278.4
04/19 13,55.68,255.6,274.6
04/19 14,40.35,241.6,259.5
04/19 15,14.31,234.4,251.8
04/19 16,3.35,237.8,266.0
04/19 17,0.0,237.7,255.3
04/19 18,0.0,295.9,317.8
04/19 19,0.0,307.8,337.3
04/19 20,0.0,279.6,300.3
04/19 21,0.0,268.1,338.8
04/19 22,0.0,254.5,303.7
04/19 23,0.0,242.3,260.2
04/20 00,0.0,233.6,250.9
04/20 01,0.0,226.1,242.9
04/20 02,0.0,220.6,237.0
04/20 03,0.0,214.7,230.6
04/20 04,0.72,212.6,228.3
04/20 05,10.35,219.8,236.1
04/20 06,28.3,220.9,237.2
04/20 07,47.07,224.0,240.6
04/20 08,62.05,226.5,243.3
04/20 09,71.41,241.2,259.1
04/20 10,76.41,244.3,262.4
04/20 11,74.15,234.4,251.7
04/20 12,64.32,254.4,273.2
04/20 13,51.14,261.8,281.2
04/20 14,36.28,249.4,267.9
04/20 15,16.84,238.8,256.5
04/20 16,2.96,243.2,261.2
04/20 17,0.0,240.0,260.4
04/20 18,0.0,289.9,311.4
04/20 19,0.0,291.5,313.1
04/20 20,0.0,265.8,297.4
04/20 21,0.0,246.8,288.2
04/20 22,0.0,237.2,296.3
04/20 23,0.0,222.9,260.3
04/21 00,0.0,217.5,233.6
04/21 01,0.0,212.0,227.7
04/21 02,0.0,209.6,225.1
04/21 03,0.0,211.8,227.5
04/21 04,0.84,210.7,226.3
04/21 05,11.48,213.5,229.3
04/21 06,30.91,227.3,244.1
04/21 07,48.81,240.0,257.8
04/21 08,64.82,247.7,266.1
04/21 09,74.25,245.0,263.2
04/21 10,75.97,228.3,245.3
04/21 11,72.3,229.0,245.9
04/21 12,63.41,254.1,272.9
04/21 13,50.59,252.4,271.2
04/21 14,33.27,237.9,255.6
04/21 15,14.24,228.7,258.6
04/21 16,2.52,229.6,254.3
04/21 17,0.0,236.6,254.2
04/21 18,0.0,288.4,309.8
04/21 19,0.0,290.8,318.7
04/21 20,0.0,259.7,278.9
04/21 21,0.0,250.7,269.3
04/21 22,0.0,236.1,256.1
04/21 23,0.0,221.4,261.3
04/22 00,0.0,214.1,229.9
04/22 01,0.0,206.4,221.7
04/22 02,0.0,210.3,225.9
04/22 03,0.0,206.3,221.6
04/22 04,0.8,202.5,217.6
04/22 05,12.17,217.8,234.0
04/22 06,33.17,275.8,296.3
04/22 07,51.94,264.9,284.5
04/22 08,65.12,257.7,276.8
04/22 09,72.38,285.0,306.2
04/22 10,76.12,281.8,302.7
04/22 11,74.7,283.8,304.8
04/22 12,66.38,293.1,314.8
04/22 13,52.75,287.4,308.7
04/22 14,35.68,268.1,288.0
04/22 15,16.02,269.0,328.3
04/22 16,2.73,261.7,315.9
04/22 17,0.0,264.3,283.9
04/22 18,0.0,302.9,342.5
04/22 19,0.0,321.9,379.9
04/22 20,0.0,283.0,303.9
04/22 21,0.0,260.3,279.6
04/22 22,0.0,242.4,277.0
04/22 23,0.0,233.0,269.1
04/23 00,0.0,223.3,239.8
04/23 01,0.0,214.8,230.7
04/23 02,0.0,220.9,237.3
04/23 03,0.0,218.2,234.4
04/23 04,0.8,213.8,229.6
04/23 05,12.03,228.6,245.5
04/23 06,34.25,268.2,288.1
04/23 07,52.49,261.9,281.3
04/23 08,63.25,254.2,273.1
04/23 09,69.4,273.9,294.2
04/23 10,71.6,263.7,283.2
04/23 11,69.36,264.3,283.8
04/23 12,63.17,276.2,296.7
04/23 13,50.95,277.1,297.7
04/23 14,31.08,283.0,304.0
04/23 15,11.87,279.2,299.9
04/23 16,1.94,278.1,298.7
04/23 17,0.0,270.2,329.8
04/23 18,0.0,336.0,424.5
04/23 19,0.0,339.2,375.6
04/23 20,0.0,300.6,322.8
04/23 21,0.0,292.9,314.6
04/23 22,0.0,276.1,296.6
04/23 23,0.0,259.3,278.5
04/24 00,0.0,251.5,270.1
04/24 01,0.0,245.0,263.2
04/24 02,0.0,250.9,269.5
04/24 03,0.0,245.7,263.9
04/24 04,0.64,245.1,263.3
04/24 05,10.74,259.0,278.2
04/24 06,28.43,304.1,326.7
04/24 07,45.77,286.1,307.3
04/24 08,60.8,302.4,324.9
04/24 09,66.7,322.8,346.7
04/24 10,71.27,309.8,332.8
04/24 11,71.94,307.5,330.3
04/24 12,62.42,315.1,338.5
04/24 13,50.38,311.6,334.7
04/24 14,34.5,311.7,334.8
04/24 15,14.91,306.3,329.0
04/24 16,2.4,295.5,317.4
04/24 17,0.0,284.2,305.3
04/24 18,0.0,332.4,415.2
04/24 19,0.0,345.4,386.5
04/24 20,0.0,311.3,344.7
04/24 21,0.0,302.0,331.0
04/24 22,0.0,283.5,304.5
04/24 23,0.0,265.7,297.2
04/25 00,0.0,255.8,274.7
04/25 01,0.0,247.6,266.0
04/25 02,0.0,233.2,250.5
04/25 03,0.0,231.2,248.3
04/25 04,0.0,222.3,238.8
04/25 05,1.2,246.0,264.3
04/25 06,4.43,295.3,317.1
04/25 07,8.24,263.9,283.5
04/25 08,10.95,237.3,254.9
04/25 09,11.48,326.4,350.5
04/25 10,10.9,325.3,349.4
04/25 11,11.12,315.2,338.6
04/25 12,10.45,316.8,340.2
04/25 13,7.72,317.0,340.5
04/25 14,4.35,299.8,322.0
04/25 15,1.32,290.5,339.1
04/25 16,0.0,274.4,294.7
04/25 17,0.0,274.6,331.4
04/25 18,0.0,327.4,351.7
04/25 19,0.0,334.0,358.7
04/25 20,0.0,298.7,320.9
04/25 21,0.0,295.6,317.5
04/25 22,0.0,272.8,315.1
04/25 23,0.0,261.1,318.7
04/26 00,0.0,259.4,278.6
04/26 01,0.0,251.0,269.6
04/26 02,0.0,249.2,267.7
04/26 03,0.0,247.8,266.2
04/26 04,0.63,246.4,264.6
04/26 05,12.27,252.9,271.7
04/26 06,34.38,292.3,313.9
04/26 07,52.35,264.8,284.4
04/26 08,66.16,280.7,301.5
04/26 09,76.09,280.6,301.4
04/26 10,78.58,272.3,292.5
04/26 11,74.19,269.9,289.9
04/26 12,66.54,293.3,315.1
04/26 13,51.64,293.6,315.4
04/26 14,29.58,272.7,292.9
04/26 15,11.18,275.1,295.5
04/26 16,1.85,263.7,283.2
04/26 17,0.0,266.4,286.2
04/26 18,0.0,320.2,343.9
04/26 19,0.0,332.5,357.2
04/26 20,0.0,309.0,338.7
04/26 21,0.0,292.0,313.7
04/26 22,0.0,282.3,352.6
04/26 23,0.0,265.0,293.4
04/27 00,0.0,261.4,280.7
04/27 01,0.0,247.2,265.5
04/27 02,0.0,242.0,259.9
04/27 03,0.0,225.3,242.0
04/27 04,0.0,212.0,227.8
04/27 05,4.65,217.8,234.0
04/27 06,13.47,226.7,243.5
04/27 07,30.52,231.1,248.2
04/27 08,46.57,226.2,243.0
04/27 09,56.55,231.0,248.1
04/27 10,59.56,235.3,252.7
04/27 11,53.49,237.0,254.6
04/27 12,47.2,258.0,277.2
04/27 13,46.37,258.7,277.9
04/27 14,43.15,237.2,254.8
04/27 15,21.02,240.3,258.1
04/27 16,3.05,234.5,251.9
04/27 17,0.0,235.0,252.4
04/27 18,0.0,285.0,336.4
04/27 19,0.0,297.6,319.6
04/27 20,0.0,263.4,332.8
04/27 21,0.0,252.3,304.5
04/27 22,0.0,238.1,255.8
04/27 23,0.0,225.6,242.3
04/28 00,0.0,217.4,233.5
04/28 01,0.0,208.9,224.4
04/28 02,0.0,215.3,231.3
04/28 03,0.0,215.2,231.1
04/28 04,0.0,214.0,229.8
04/28 05,7.18,221.8,238.2
04/28 06,34.53,279.9,300.6
04/28 07,54.0,276.1,296.5
04/28 08,64.06,260.5,279.8
04/28 09,63.5,260.8,280.2
04/28 10,32.92,259.3,278.5
04/28 11,9.88,265.0,284.6
04/28 12,4.66,276.8,297.3
04/28 13,3.51,291.0,312.6
04/28 14,2.08,271.0,291.1
04/28 15,0.65,269.0,288.9
04/28 16,0.0,254.9,311.2
04/28 17,0.0,243.6,261.6
04/28 18,0.0,295.2,317.1
04/28 19,0.0,303.8,326.3
04/28 20,0.0,279.9,334.1
04/28 21,0.0,265.8,317.3
04/28 22,0.0,244.8,262.9
04/28 23,0.0,232.1,286.5
04/29 00,0.0,221.3,237.7
04/29 01,0.0,216.8,232.9
04/29 02,0.0,219.2,235.5
04/29 03,0.0,217.6,233.7
04/29 04,0.0,206.8,222.2
04/29 05,5.12,210.9,226.5
04/29 06,18.82,267.2,287.0
04/29 07,36.9,265.3,285.0
04/29 08,52.5,239.0,256.7
04/29 09,66.7,250.8,269.3
04/29 10,67.54,252.9,271.6
04/29 11,58.98,256.9,276.0
04/29 12,47.03,260.5,279.8
04/29 13,36.79,264.4,284.0
04/29 14,32.57,257.1,276.1
04/29 15,15.73,257.8,276.9
04/29 16,2.17,244.0,262.0
04/29 17,0.0,239.1,256.8
04/29 18,0.0,291.8,352.2
04/29 19,0.0,308.9,331.8
04/29 20,0.0,271.9,328.1
04/29 21,0.0,246.2,300.5
04/29 22,0.0,236.1,253.6
04/29 23,0.0,223.5,261.0
04/30 00,0.0,218.8,235.0
04/30 01,0.0,204.6,219.8
04/30 02,0.0,205.8,221.0
04/30 03,0.0,214.0,229.8
04/30 04,0.48,214.0,229.8
04/30 05,11.05,217.5,233.7
04/30 06,31.05,259.2,278.4
04/30 07,46.82,253.9,272.8
04/30 08,57.75,236.2,253.7
04/30 09,67.51,248.1,266.5
04/30 10,72.69,253.0,271.7
04/30 11,70.49,260.3,279.5
04/30 12,62.64,265.6,285.3
04/30 13,48.3,265.7,285.4
04/30 14,28.86,232.5,249.7
04/30 15,10.65,225.5,269.2
04/30 16,1.38,215.1,262.6
04/30 17,0.0,222.8,239.3
04/30 18,0.0,285.6,306.8
04/30 19,0.0,279.8,313.1
04/30 20,0.0,245.7,264.0
04/30 21,0.0,232.4,290.3
04/30 22,0.0,218.6,242.1
04/30 23,0.0,211.8,242.0
05/01 00,0.0,207.3,222.6
05/01 01,0.0,199.0,213.7
05/01 02,0.0,199.4,214.2
05/01 03,0.0,195.9,210.4
05/01 04,0.64,195.8,210.3
05/01 05,13.87,189.1,203.1
05/01 06,38.02,194.6,209.0
05/01 07,58.12,203.8,218.9
05/01 08,71.22,220.6,236.9
05/01 09,77.58,211.3,227.0
05/01 10,78.94,200.6,215.5
05/01 11,75.73,212.7,228.5
05/01 12,70.08,234.6,252.0
05/01 13,57.5,239.8,257.5
05/01 14,36.2,210.0,225.6
05/01 15,13.67,219.3,256.0
05/01 16,1.41,208.7,263.7
05/01 17,0.0,210.3,245.5
05/01 18,0.0,261.6,289.6
05/01 19,0.0,273.4,337.6
05/01 20,0.0,251.1,313.6
05/01 21,0.0,232.1,257.0
05/01 22,0.0,218.2,234.4
05/01 23,0.0,214.2,230.0
05/02 00,0.0,203.9,219.0
05/02 01,0.0,200.3,215.1
05/02 02,0.0,202.6,217.6
05/02 03,0.0,200.2,215.1
05/02 04,0.0,197.3,211.9
05/02 05,1.4,208.3,223.8
05/02 06,9.7,242.2,260.2
05/02 07,18.12,245.3,263.5
