Timestamp,Production (kW)
10/17/2014,18.32
10/18/2014,25.74
10/19/2014,26.05
10/20/2014,13.36
10/21/2014,12.63
10/22/2014,17.67
10/23/2014,21.45
10/24/2014,22.83
10/25/2014,19.69
10/26/2014,20.27
10/27/2014,16.69
10/28/2014,15.63
10/29/2014,23.18
10/30/2014,7.25
10/31/2014,16.54
11/01/2014,12.73
11/02/2014,22.62
11/03/2014,7.23
11/04/2014,16.39
11/05/2014,17.57
11/06/2014,14.52
11/07/2014,26.81
11/08/2014,26.53
11/09/2014,25.09
11/10/2014,12.79
11/11/2014,17.10
11/12/2014,13.15
11/13/2014,16.83
11/14/2014,19.14
11/15/2014,3.68
11/16/2014,12.29
11/17/2014,11.09
11/18/2014,10.70
11/19/2014,14.17
11/20/2014,15.29
11/21/2014,18.32
11/22/2014,25.74
11/23/2014,26.05
11/24/2014,13.36
11/25/2014,12.63
11/26/2014,17.67
11/27/2014,21.45
11/28/2014,22.83
11/29/2014,19.69
11/30/2014,20.27
12/01/2014,16.69
12/02/2014,26.42
12/03/2014,15.86
12/04/2014,6.61
12/05/2014,15.25
12/06/2014,14.37
12/07/2014,13.55
12/08/2014,11.53
12/09/2014,22.75
12/10/2014,19.47
12/11/2014,23.95
12/12/2014,25.57
12/13/2014,21.61
12/14/2014,13.98
12/15/2014,12.25
12/16/2014,8.07
12/17/2014,12.94
12/18/2014,14.38
12/19/2014,19.64
12/20/2014,25.09
12/21/2014,24.08
12/22/2014,18.94
12/23/2014,4.98
12/24/2014,6.28
12/25/2014,5.02
12/26/2014,10.76
12/27/2014,14.70
12/28/2014,20.87
12/29/2014,24.49
12/30/2014,11.40
12/31/2014,15.84
